,Age,Date,Draft Year,Player,Position,Season,Seasons in league,Team,Weight,Champion,Season Shorts
0,29,"Apr 14, 1985",1978,Micheal Ray Richardson,PG,1984-1985,6,New Jersey Nets,85,Los Angeles Lakers,1985
1,23,"Apr 7, 1985",1982,Derek Smith,SG,1984-1985,2,Los Angeles Clippers,93,Los Angeles Lakers,1985
2,28,"Apr 1, 1985",1979,Calvin Natt,F,1984-1985,5,Denver Nuggets,99,Los Angeles Lakers,1985
3,37,"Mar 24, 1985",1969,Kareem Abdul-Jabbar,C,1984-1985,15,Los Angeles Lakers,102,Los Angeles Lakers,1985
4,28,"Mar 17, 1985",1978,Larry Bird,SF,1984-1985,5,Boston Celtics,99,Los Angeles Lakers,1985
5,26,"Mar 10, 1985",1980,Darrell Griffith,SG,1984-1985,4,Utah Jazz,86,Los Angeles Lakers,1985
6,24,"Mar 3, 1985",1982,Sleepy Floyd,PG,1984-1985,2,Golden State Warriors,77,Los Angeles Lakers,1985
7,25,"Feb 24, 1985",1981,Mark Aguirre,SF,1984-1985,3,Dallas Mavericks,105,Los Angeles Lakers,1985
8,25,"Feb 17, 1985",1979,Magic Johnson,PG,1984-1985,5,Los Angeles Lakers,115,Los Angeles Lakers,1985
9,25,"Feb 3, 1985",1982,Dominique Wilkins,SF,1984-1985,2,Atlanta Hawks,90,Los Angeles Lakers,1985
10,32,"Jan 27, 1985",1974,Tom McMillen,PF,1984-1985,9,Washington Bullets,97,Los Angeles Lakers,1985
11,22,"Jan 20, 1985",1984,Michael Jordan,SG,1984-1985,0,Chicago Bulls,97,Los Angeles Lakers,1985
12,31,"Jan 13, 1985",1975,World B. Free,G,1984-1985,9,Cleveland Cavaliers,84,Los Angeles Lakers,1985
13,23,"Jan 6, 1985",1981,Isiah Thomas,PG,1984-1985,3,Detroit Pistons,81,Los Angeles Lakers,1985
14,29,"Dec 30, 1984",1978,Micheal Ray Richardson,PG,1984-1985,6,New Jersey Nets,85,Los Angeles Lakers,1985
15,23,"Dec 23, 1984",1982,Terry Cummings,PF,1984-1985,2,Milwaukee Bucks,99,Los Angeles Lakers,1985
16,23,"Dec 16, 1984",1982,Derek Smith,SG,1984-1985,2,Los Angeles Clippers,93,Los Angeles Lakers,1985
17,25,"Dec 9, 1984",1981,Orlando Woolridge,PF,1984-1985,3,Chicago Bulls,97,Los Angeles Lakers,1985
18,29,"Dec 2, 1984",1977,Jack Sikma,C,1984-1985,7,Seattle SuperSonics,104,Los Angeles Lakers,1985
19,28,"Nov 25, 1984",1977,Bernard King,SF,1984-1985,7,New York Knicks,93,Los Angeles Lakers,1985
20,29,"Nov 18, 1984",1976,Moses Malone,C,1984-1985,8,Philadelphia Sixers,97,Los Angeles Lakers,1985
21,31,"Nov 11, 1984",1976,Alex English,SF,1984-1985,8,Denver Nuggets,86,Los Angeles Lakers,1985
22,26,"Nov 4, 1984",1981,Larry Nance,PF,1984-1985,3,Phoenix Suns,93,Los Angeles Lakers,1985
23,26,"Apr 13, 1986",1982,Dominique Wilkins,SF,1985-1986,3,Atlanta Hawks,90,Boston Celtics,1986
24,28,"Apr 6, 1986",1981,Herb Williams,C,1985-1986,4,Indiana Pacers,109,Boston Celtics,1986
25,23,"Mar 30, 1986",1984,Charles Barkley,PF,1985-1986,1,Philadelphia Sixers,114,Boston Celtics,1986
26,30,"Mar 23, 1986",1976,Adrian Dantley,SF,1985-1986,9,Utah Jazz,94,Boston Celtics,1986
27,29,"Mar 16, 1986",1978,Larry Bird,SF,1985-1986,6,Boston Celtics,99,Boston Celtics,1986
28,26,"Mar 9, 1986",1979,Magic Johnson,PG,1985-1986,6,Los Angeles Lakers,115,Boston Celtics,1986
29,23,"Mar 2, 1986",1984,Charles Barkley,PF,1985-1986,1,Philadelphia Sixers,114,Boston Celtics,1986
30,28,"Feb 23, 1986",1979,Sidney Moncrief,SG,1985-1986,6,Milwaukee Bucks,81,Boston Celtics,1986
31,29,"Feb 16, 1986",1978,Larry Bird,SF,1985-1986,6,Boston Celtics,99,Boston Celtics,1986
32,32,"Feb 2, 1986",1976,Alex English,SF,1985-1986,9,Denver Nuggets,86,Boston Celtics,1986
33,23,"Jan 26, 1986",1984,Charles Barkley,PF,1985-1986,1,Philadelphia Sixers,114,Boston Celtics,1986
34,29,"Jan 19, 1986",1978,Larry Bird,SF,1985-1986,6,Boston Celtics,99,Boston Celtics,1986
35,29,"Jan 12, 1986",1979,Calvin Natt,F,1985-1986,6,Denver Nuggets,99,Boston Celtics,1986
36,23,"Jan 5, 1986",1983,Clyde Drexler,SG,1985-1986,2,Portland Trail Blazers,95,Boston Celtics,1986
37,26,"Dec 29, 1985",1982,Dominique Wilkins,SF,1985-1986,3,Atlanta Hawks,90,Boston Celtics,1986
38,27,"Dec 22, 1985",1981,Larry Nance,PF,1985-1986,4,Phoenix Suns,93,Boston Celtics,1986
39,23,"Dec 15, 1985",1984,Alvin Robertson,SG,1985-1986,1,San Antonio Spurs,84,Boston Celtics,1986
40,27,"Dec 8, 1985",1980,Jeff Ruland,C,1985-1986,4,Washington Bullets,109,Boston Celtics,1986
